REGISTRO_ANIMAL rgd_pai rgd_mae idade18 GC18 p550_aj GP345_aj conformacao_sob precocidade_sob musculosidade_sob umbigo_sob aol egs egp acab altura_sob pe_sob sexo safra GM_SOB
KAP3307 BRUMA0376 QUI2668 619 F2010S08 299,43 138,88 5,00 3,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3308 RDM2267 KAP952 618 F2010S08 312,38 147,64 5,00 4,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3311 RDM2267 KAP952 609 M2010N_INF 380,21 208,75 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 34,00 M 2010 N_INF
KAP3312 F6211 KAP1824 614 F2010S08 300,08 149,89 5,00 3,00 3,00 1,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3314 F6211 KAP1596 614 F2010S08 305,46 154,27 5,00 4,00 4,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3315 BRUMA0376 PORT597 606 M2010N_INF 412,05 229,40 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 31,00 M 2010 N_INF
KAP3316 RDM2267 KAP574 606 M2010N_INF 373,93 174,61 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
KAP3320 CSCN7384 KAP1408 605 M2010N_INF 373,64 213,93 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 32,00 M 2010 N_INF
KAP3321 CSCN7384 FGP618 610 F2010S08 275,00 58,76 4,00 1,00 1,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3322 RDM2267 KAP574 611 F2010S08 306,96 141,56 5,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3323 BRUMA0376 QUI2668 610 F2010S08 322,79 116,36 5,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3325 B2045 KAP891 605 M2010N_INF 356,36 229,81 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
KAP3326 B2045 KAP891 609 F2010S08 301,64 149,64 5,00 5,00 4,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3327 B2045 KAP2399 610 F2010S08 292,13 135,09 5,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3328 BRUMA0376 PORT597 609 F2010S08 325,12 142,31 5,00 4,00 4,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3329 B2045 KAP891 609 F2010S08 328,74 172,19 5,00 4,00 4,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3330 B2045 KAP891 609 F2010S08 282,68 153,04 4,00 3,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3331 B2045 KAP891 609 F2010S08 287,19 133,08 4,00 3,00 2,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3333 BRUMA0376 PORT597 601 M2010N_INF 461,23 263,68 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 32,50 M 2010 N_INF
KAP3334 BRUMA0376 PORT597 601 M2010N_INF 423,71 239,17 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 32,00 M 2010 N_INF
KAP3335 B2045 KAP891 601 M2010N_INF 425,54 244,07 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 32,50 M 2010 N_INF
KAP3336 B2045 KAP2399 608 F2010S08 350,08 162,27 5,00 5,00 5,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3337 B2045 KAP2399 601 M2010N_INF 417,30 222,81 0,00 0,00 0,00 4,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
